scenario,family,coverage,det_sybil,det_manipulator,det_launderer,det_cyber,precision,on_safe,peak,trough_drawdown,retail_burn,liquidated_frac,final_trust,false_positives,scam_victim_frac
A1_calm_baseline,Market,0.6157889341694777,1.0,0.5011553974041827,0.5,0.0,1.0,0.0,3.9490405033420597,0.74676828785081,0.2452251643969877,0.0,0.5818539198462473,0.0,0.0
A2_retail_mania,Market,0.6293298527485689,1.0,0.5004406715172602,0.5,0.0,1.0,0.0,5.664314049260328,0.8234253865082231,0.17269610565867438,0.0,0.6041356088674475,0.0,0.0
A3_crash_cascade,Market,0.6170661399766204,1.0,0.5051418402808465,0.5,0.0,1.0,0.0,4.546183492550185,0.7800189088952663,0.24331144503572244,0.17389705587101925,0.5790830445501571,0.0,0.0
A4_exogenous_shock,Market,0.615738544842962,1.0,0.5009739355855476,0.5,0.0,1.0,0.0,3.749665978470225,0.7333075402608763,0.2918155163162047,0.17903264541300007,0.5632119813761894,0.0,0.0
B1_pump_and_dump_ring,Adversary,0.5777131141085092,1.0,0.5013925762101114,0.5,0.0,1.0,0.0,16.46763418486204,0.9969619272204018,0.29303486934264117,0.0,0.5624447333309699,0.0,0.0
B2_sybil_airdrop_farm,Adversary,0.13080724071278402,0.11805344246391582,0.18770583546676228,0.1656529948243331,0.0,1.0,0.0,4.466455112750897,0.7761024156639835,0.34250739228521093,0.0,0.5646305171531494,0.0,0.0
B3_laundering_layering,Adversary,0.15328783282488798,0.12012906210127955,0.18822807608760023,0.16660073993280025,0.0,1.0,0.0,3.524530211268427,0.7162075442262447,0.1124079188089053,0.0,0.618687604663573,0.0,0.0
B4_adaptive_red_team,Adversary,0.16164944812323723,0.1470315986626742,0.21865315526174917,0.17681901387268772,0.0,1.0,0.0,4.595364949036199,0.7915996248320343,0.35867894412237306,0.0,0.5632071044299211,0.0,0.0
C1_pig_butchering_wave,Social-eng,0.6143137739671138,1.0,0.49652864981201167,0.5,0.0,1.0,0.0,4.009773678640345,0.7505616953459584,0.2461442911458119,0.0,0.5821220540627764,0.0,0.19256666666666666
D1_laissez_faire,Policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15493634081655,0.7592584391125434,0.21229425574533956,0.0,0.569256094713721,0.0,0.0
D2_over_friction_fatigue,Policy,0.6146713911640078,1.0,0.4977728403503344,0.5,0.0,0.8035889640049869,17783.75,4.025185034308988,0.7514938368059783,0.2445126487554527,0.0,0.4684909683997233,17783.75,0.0
D3_vifc_tiered_sandbox,Policy,0.6152326625787918,1.0,0.4994262536134332,0.5,0.0,1.0,0.0,3.961216888691756,0.7475447119537348,0.25129224679085593,0.0,0.5801901153424296,0.0,0.0
