role,detected,total,rate,lo,hi
market_manipulator,20700,110824,0.18678264635818956,0.18449889759714777,0.1890881090815062
sybil_attacker,13233,112882,0.117228610407328,0.11536496722817324,0.11911830565022108
money_launderer,12467,74326,0.16773403654172162,0.16506509157357682,0.1704373266099701
cyber_red_team,0,38892,0.0,0.0,9.876634215828358e-05
